State,Lon,Lat,Total Cases,Deceased,Recovered,Active Cases
Andaman and Nicobar Islands,92.6586401,11.7400867,11,0,0,11
Andhra Pradesh,79.7399875,15.9128998,363,6,7,350
Arunachal Pradesh,94.7277528,28.2179994,1,0,0,1
Assam,92.9375739,26.2006043,29,1,0,28
Bihar,85.3131194,25.0960742,60,1,0,59
Chandigarh,76.7794179,30.7333148,18,0,7,11
Chhattisgarh,81.8661442,21.2786567,18,0,9,9
Delhi,77.1024902,28.7040592,903,13,25,865
Goa,74.123996,15.2993265,7,0,1,6
Gujarat,71.1923805,22.258652,308,19,31,258
Haryana,76.085601,29.0587757,177,3,29,145
Himachal Pradesh,77.1733901,31.1048294,28,1,6,21
Jammu and Kashmir,76.5761714,33.778175,207,4,6,197
Jharkhand,85.2799354,23.6101808,14,1,0,13
Karnataka,75.7138884,15.3172775,207,6,31,170
Kerala,76.2710833,10.8505159,364,2,123,239
Ladakh,78.2931706,34.2996176,15,0,10,5
Madhya Pradesh,78.6568942,22.9734229,435,33,0,402
Maharashtra,75.7138884,19.7514798,1574,110,188,1276
Manipur,93.9062688,24.6637173,2,0,1,1
Mizoram,92.9375739,23.164543,1,0,0,1
Odisha,85.0985236,20.9516658,48,1,2,45
Puducherry,79.8082865,11.9415524,5,0,1,4
Punjab,75.3412179,31.1471305,132,11,5,116
Rajasthan,74.2179326,27.0238036,553,3,21,529
Tamil Nadu,78.6568942,11.1271225,911,8,44,859
Telangana,79.0192997,18.1124372,473,7,43,423
Tripura,91.9881527,23.9408482,1,0,0,1
Uttar Pradesh,80.9461592,26.8467088,431,4,32,395
Uttarakhand,79.0192997,30.066753,35,0,5,30
West Bengal,87.8549755,22.9867569,116,5,16,95
